Ingredient Name,Calories,Health Star Rating,GHG Emission (kg CO2eq/FU),Category,Scientific Name,Description,Energy (kJ),Protein (g),Sodium (mg),Sugars (g),Saturated fats (g),Fibre (g)
"Abalone, black lip, aquacultured, raw",79,3.5,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Haliotidae haliotis,Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a black ring surrounding the flesh. Aquacultured.,332,16.2,390,0.4,0.17,0
"Abalone, black lip, wild, raw",90,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Haliotidae haliotis,Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a black ring surrounding the flesh. Wild caught.,380,19.4,268,0.4,0.14,0
"Abalone, brown lip, wild, raw",84,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Haliotidae haliotis,Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a brown ring surrounding the flesh. Wild caught.,352,17.8,280,0.4,0.15,0
"Abalone, green lip, aquacultured, raw",82,3.5,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Haliotidae haliotis,Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a green ring surrounding the flesh. Aquacultured.,345,17.1,792,0.4,0.18,0
"Abalone, green lip, wild, raw",86,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Haliotidae haliotis,Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a green ring surrounding the flesh. Wild caught.,363,18.7,255,0.4,0.13,0
"Amaranth, grain, whole, uncooked",364,5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Amaranthus caudatus,"Very small, round grains, with a light sandy/beige colour.",1527,15.2,2,3.8,1.62,11.1
"Apple, bonza, unpeeled, raw",58,3.5,0.42,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Malus domestica,Round shaped fruit with red skin and cream coloured flesh.,244,0.3,0,11.5,0,3.2
"Apple, fuji, unpeeled, raw",58,3.5,0.42,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Malus domestica,Round shaped fruit with red skin and cream coloured flesh.,245,0.3,2,12.1,0,2.4
"Apple, golden delicious, unpeeled, raw",48,3.5,0.42,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Malus domestica,Round shaped fruit with golden green skin and cream coloured flesh.,202,0.3,2,10.5,0,2.5
"Apple, granny-smith, unpeeled, raw",48,3.5,0.42,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Malus domestica,Round shaped fruit with green skin and cream/white coloured flesh.,202,0.3,1,10.3,0,2.3
"Apple, jonathon, unpeeled, raw",54,3.5,0.42,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Malus domestica,Round shaped fruit with red skin and cream/white coloured flesh.,226,0.3,1,11.8,0,2.3
"Apple, pink lady, unpeeled, raw",58,3.5,0.42,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Malus domestica,Round shaped fruit with pink/red skin and cream coloured flesh.,243,0.2,1,12.2,0,3
"Apple, red delicious, unpeeled, raw",59,3.5,0.42,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Malus domestica,Round shaped fruit with red skin and cream coloured flesh.,248,0.3,1,13,0,2.3
"Apple, red skin, unpeeled, raw",57,3.5,0.42,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Malus domestica,"Round shaped fruit with red/pink skin and cream/white flesh. Includes pink lady, red delicious, royal gala, fuji, jonathan and bonza varieties.",240,0.3,1,12,0,2.7
"Apple, royal gala, unpeeled, raw",53,3.5,0.42,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Malus domestica,Round shaped fruit with red skin and cream coloured flesh.,222,0.4,1,11.1,0,2.1
"Apricot, raw",40,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Prunus armeniaca,"Small, orange coloured stone fruit.",171,0.8,2,6.6,0,2.5
